latA,longA,latB,longB,descripcion,hora,tasaFlujo,cantidadVehiculos
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:00,10.0,30
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:03,8.0,26
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:06,11.0,34
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:09,14.0,43
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:12,12.0,37
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:15,7.0,23
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:18,11.0,35
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:21,6.0,19
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:24,15.0,46
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:27,10.0,30
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:30,7.0,23
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:33,10.0,30
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:36,16.0,49
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:39,3.0,9
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:42,6.0,20
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:45,1.0,3
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:48,9.0,27
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:51,13.0,40
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:54,10.0,31
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,07:57,12.0,38
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:00,8.0,26
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:03,16.0,49
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:06,8.0,26
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:09,16.0,48
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:12,4.0,13
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:15,12.0,36
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:18,11.0,34
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:21,16.0,48
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:24,8.0,25
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:27,16.0,48
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:30,2.0,6
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:33,5.0,17
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:36,0.0,1
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:39,3.0,11
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:42,1.0,5
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:45,7.0,22
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:48,4.0,14
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:51,15.0,45
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:54,4.0,12
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,13:57,2.0,8
-38.739355,-72.583782,-38.739145,-72.585066,Montt entre Cruz y Zenteno,18:00,9.0,29
