latA,longA,latB,longB,descripcion,hora,tasaFlujo,cantidadVehiculos
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:00,5.0,17
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:03,16.0,49
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:06,4.0,12
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:09,5.0,16
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:12,11.0,35
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:15,16.0,49
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:18,15.0,47
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:21,13.0,41
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:24,5.0,17
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:27,5.0,17
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:30,10.0,30
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:33,15.0,46
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:36,13.0,40
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:39,16.0,48
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:42,4.0,13
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:45,12.0,37
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:48,12.0,36
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:51,16.0,49
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:54,9.0,29
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,07:57,11.0,34
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:00,3.0,10
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:03,7.0,23
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:06,0.0,2
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:09,3.0,9
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:12,8.0,26
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:15,13.0,41
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:18,2.0,6
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:21,15.0,47
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:24,5.0,16
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:27,6.0,20
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:30,16.0,50
-38.73756,-72.595676,-38.737079,-72.595574,Las Heras entre Montt y Portales,13:33,13.0,40
